Manufacturer,PartNo,Description,Type,ForeShoulderLength,ForeShoulderDiameter,ForeOuterDiameter,Length,OuterDiameter,ShoulderLength,ShoulderDiameter,Filled,Material,Mass,Shape
Semroc,BR-1316L,Balsa Reducer 13 to 16,TRANSITION,0.0127,0.03302,0.034036,0.0381,0.041656,0.0127,0.04064,1,Balsa,0.008505,cone
Semroc,BR-1316L [R],Balsa Reducer 13 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0381,0.034036,0.0127,0.03302,1,Balsa,0.008505,cone
Semroc,BR-1316M,Balsa Reducer 13 to 16,TRANSITION,0.0127,0.03302,0.034036,0.0254,0.041656,0.0127,0.04064,1,Balsa,0.007938,cone
Semroc,BR-1316M [R],Balsa Reducer 13 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0254,0.034036,0.0127,0.03302,1,Balsa,0.007938,cone
Semroc,BR-1320,Balsa Reducer 13 to 20,TRANSITION,0.0127,0.03302,0.034036,0.01905,0.051816,0.0127,0.0508,1,Balsa,0.007938,cone
Semroc,BR-1320 [R],Balsa Reducer 13 to 20 – Reversed,TRANSITION,0.0127,0.0508,0.051816,0.01905,0.034036,0.0127,0.03302,1,Balsa,0.007938,cone
Semroc,BR-1320L,Balsa Reducer 13 to 20,TRANSITION,0.0127,0.03302,0.034036,0.1143,0.051816,0.0127,0.0508,1,Balsa,0.015876,cone
Semroc,BR-1320L [R],Balsa Reducer 13 to 20 – Reversed,TRANSITION,0.0127,0.0508,0.051816,0.1143,0.034036,0.0127,0.03302,1,Balsa,0.015876,cone
Semroc,BR-150-225,Balsa Reducer 150 to 225,TRANSITION,0.0127,0.0381,0.040386,0.05715,0.059436,0.0127,0.05715,1,Balsa,0.0297675,cone
Semroc,BR-150-225 [R],Balsa Reducer 150 to 225 – Reversed,TRANSITION,0.0127,0.05715,0.059436,0.05715,0.040386,0.0127,0.0381,1,Balsa,0.0297675,cone
Semroc,BR-150-275,Balsa Reducer 150 to 275,TRANSITION,0.0127,0.0381,0.040386,0.07366,0.072136,0.0127,0.06985,1,Balsa,0.0411075,cone
